Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
25-34 years old,Man,Straight / Heterosexual,South American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile",European Euro,EUR,73000.0,Yearly,77850.0,8,8,macOS,Cassandra;Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Gatsby;Node.js;React.js;Ruby on Rails,Flask;Gatsby;jQuery;React.js;Ruby on Rails,Elixir;HTML/CSS;JavaScript;Ruby;Swift;TypeScript,HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,AWS;Google Cloud,AWS;Heroku,2022
18-24 years old,Man,Straight / Heterosexual,White;European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;Designer;System administrator",European Euro,EUR,29900.0,Yearly,31886.0,4,Less than 1 year,macOS,Microsoft SQL Server;MySQL;Redis,Microsoft SQL Server;MySQL;Redis,Laravel;Svelte;Vue.js,Laravel,HTML/CSS;JavaScript;PHP;SQL;Swift,HTML/CSS;JavaScript;PHP;SQL;Swift,,VMware,2022
25-34 years old,Man,Straight / Heterosexual,North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Designer",United States dollar,USD,55000.0,Yearly,55000.0,7,4,Windows,Microsoft SQL Server;MySQL;Oracle,Microsoft SQL Server;MySQL;Oracle,ASP.NET;ASP.NET Core ,ASP.NET;ASP.NET Core ,C#;C++;HTML/CSS;JavaScript;SQL,C;C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)","10,000 or more employees",USA,"Employed, full-time;Employed, part-time",Engineering manager;Database administrator,United States dollar,USD,180000.0,Yearly,180000.0,16,12,Windows,Microsoft SQL Server,Microsoft SQL Server,,,PowerShell;Python;SQL,HTML/CSS;PowerShell;Python;SQL,AWS;Microsoft Azure,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Canada,"Employed, full-time","Developer, back-end;Developer, embedded applications or devices",Canadian dollar,CAD,146300.0,Yearly,114237.0,10,5,Linux-based;Windows,DynamoDB;PostgreSQL,DynamoDB;PostgreSQL;Redis,,,Go;Kotlin;Python,Bash/Shell;Java;Kotlin;Python;SQL,AWS,AWS;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,30000.0,Yearly,37692.0,6,4,Linux-based;Windows;Windows Subsystem for Linux (WSL),MongoDB;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,ASP.NET Core ;Blazor;Express;Node.js;React.js,ASP.NET Core ;Express;Node.js;React.js,C;C#;C++;Rust,C;C#;C++;JavaScript;Rust;TypeScript,Microsoft Azure,Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, back-end",United States dollar,USD,204000.0,Yearly,204000.0,24,19,Windows,Elasticsearch;Microsoft SQL Server,Elasticsearch;Microsoft SQL Server,,,C#;R;SQL,C#;SQL,,,2022
25-34 years old,Man,Bisexual,Middle Eastern,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, back-end;DevOps specialist",European Euro,EUR,5200.0,Monthly,66540.0,14,8,Windows;Windows Subsystem for Linux (WSL),Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,ASP.NET Core ,ASP.NET Core ,Bash/Shell;C#;Kotlin;Python,Bash/Shell;C#;Java;Kotlin;Python;SQL,Google Cloud;Microsoft Azure;OpenStack,Google Cloud;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,Biracial,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,UK,"Employed, full-time","Data scientist or machine learning specialist;Engineer, data;Data or business analyst",Pound sterling,GBP,62000.0,Monthly,934752.0,7,2,Windows,,,,,HTML/CSS;JavaScript;Python;SQL;Swift,HTML/CSS;JavaScript;Python;SQL,AWS;Heroku,AWS,2022
18-24 years old,Woman,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, mobile",United States dollar,USD,84500.0,Yearly,84500.0,5,Less than 1 year,macOS,,,,,Kotlin,Kotlin,,,2022
45-54 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time","Engineer, site reliability;Developer, back-end;Database administrator;DevOps specialist",United States dollar,USD,250000.0,Yearly,250000.0,35,25,macOS,Cassandra,Cassandra,,Node.js;React.js,Bash/Shell;Go;Java,Bash/Shell;Go;Java;PowerShell,Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure,AWS;Google Cloud;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack",United States dollar,USD,107000.0,Yearly,107000.0,11,8,macOS,,,Angular;Node.js;React.js,ASP.NET;Blazor;jQuery,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,,,2022
18-24 years old,Man,Bisexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,120000.0,Yearly,120000.0,5,2,Windows;Windows Subsystem for Linux (WSL),DynamoDB;MySQL,DynamoDB;Microsoft SQL Server;MySQL,ASP.NET Core ;Next.js;Node.js;React.js;Svelte,ASP.NET;ASP.NET Core ;Next.js;Node.js;React.js,Bash/Shell;C#;HTML/CSS;Kotlin;Python;SQL;TypeScript,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,AWS;DigitalOcean;Firebase,AWS,2022
55-64 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Data scientist or machine learning specialist;Senior Executive (C-Suite, VP, etc.);Security professional",United States dollar,USD,,,,25,20,,Cassandra;Elasticsearch,MongoDB;MySQL;PostgreSQL;SQLite,,Django;FastAPI;Node.js;React.js,,Bash/Shell;C#;HTML/CSS;PowerShell;Python;SQL;Swift;TypeScript,,AWS;DigitalOcean;Google Cloud;VMware,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time",Database administrator,United States dollar,USD,130000.0,Yearly,130000.0,25,21,Windows,Microsoft SQL Server,Microsoft SQL Server,,ASP.NET;ASP.NET Core ;jQuery,SQL,C#;HTML/CSS;JavaScript;SQL,,,2022
45-54 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",European Euro,EUR,60000.0,Yearly,63986.0,33,25,macOS;Windows;Windows Subsystem for Linux (WSL),MariaDB;Microsoft SQL Server;SQLite,MariaDB;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Angular;ASP.NET;ASP.NET Core ;Blazor;Node.js,Angular;ASP.NET;ASP.NET Core ;Blazor;Node.js,Bash/Shell;C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;TypeScript;VBA,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;SQL;TypeScript;VBA,Microsoft Azure,Microsoft Azure,2022
Under 18 years old,Man,,White;European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Student, full-time",,,,,,,3,,,MongoDB;PostgreSQL;Redis,PostgreSQL,Express;Node.js;Nuxt.js;Svelte;Vue.js,Express;Node.js;Nuxt.js;Vue.js,Dart;HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian;Asian,Some college/university study without earning a degree,,India,"Student, full-time",,,,,,,3,,Linux-based;macOS;Windows Subsystem for Linux (WSL),Cloud Firestore;MongoDB;MySQL;Firebase Realtime Database;Redis,MongoDB;MySQL,Express,Express,Bash/Shell;C;C++;Dart;Go;Python,Bash/Shell;C;C++;Dart;Groovy;HTML/CSS;Java;JavaScript;Python;SQL,DigitalOcean;Firebase;Google Cloud;Microsoft Azure,Heroku;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,36000.0,Yearly,36000.0,8,3,Windows,,Microsoft SQL Server,,ASP.NET;ASP.NET Core ,C#;C++,C#,,,2022
25-34 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,Canada,"Employed, full-time","Developer, back-end",Canadian dollar,CAD,40000.0,Yearly,31234.0,5,3,Linux-based,MariaDB;SQLite,Elasticsearch;MongoDB;MySQL;Firebase Realtime Database,Node.js;React.js,jQuery,Go;Rust;Solidity,HTML/CSS;PHP,AWS,DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Developer, desktop or enterprise applications",United States dollar,USD,70000.0,Yearly,70000.0,17,7,Windows,Microsoft SQL Server,IBM DB2;Microsoft SQL Server,ASP.NET;ASP.NET Core ;Blazor,ASP.NET;ASP.NET Core ;Blazor,Bash/Shell;C#;HTML/CSS;PowerShell;SQL,Bash/Shell;C#;HTML/CSS;PowerShell;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,USA,"Employed, full-time","Data scientist or machine learning specialist;Developer, back-end;Other (please specify):",United States dollar,USD,175000.0,Yearly,175000.0,12,7,Linux-based;Windows;Windows Subsystem for Linux (WSL),,,Django;Flask;React.js,Django;Flask;React.js;Vue.js,C++;Haskell;Python,Bash/Shell;C++;Haskell;HTML/CSS;JavaScript;Python,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White;South American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Canada,"Employed, full-time","Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",Canadian dollar,CAD,125000.0,Yearly,97605.0,21,20,macOS,,Microsoft SQL Server;MongoDB,,Django;React.js,C;C++;Lua;SQL,Java;Kotlin;Lua;Python;SQL,,AWS;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,"Or, in your own words:","Associate degree (A.A., A.S., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, embedded applications or devices;Designer",United States dollar,USD,110000.0,Yearly,110000.0,11,9,,,Microsoft SQL Server,,ASP.NET;ASP.NET Core ;jQuery,,C#;HTML/CSS;JavaScript;SQL,,Microsoft Azure,2022
18-24 years old,Man,Prefer not to say,White;European,Some college/university study without earning a degree,2 to 9 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,18000.0,Yearly,22615.0,5,1,Windows,PostgreSQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Next.js;Node.js;React.js,Django;Next.js;Node.js;React.js,HTML/CSS;JavaScript;Python;Rust,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,,Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Canada,"Employed, full-time","Developer, desktop or enterprise applications",Canadian dollar,CAD,87000.0,Yearly,67933.0,25,13,Windows,PostgreSQL,SQLite,,,C++;Go;PowerShell,Bash/Shell;C++;PowerShell;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, full-stack;Developer, back-end",European Euro,EUR,90000.0,Yearly,95979.0,25,17,macOS,PostgreSQL,Elasticsearch;PostgreSQL,Phoenix;Ruby on Rails;Vue.js,Angular;Angular.js;Phoenix;React.js;Ruby on Rails;Vue.js,Elixir;JavaScript;Ruby;Rust;SQL,Elixir;JavaScript;Ruby;SQL,Heroku,Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Designer",United States dollar,USD,165000.0,Yearly,165000.0,11,10,macOS,,,Node.js;React.js;Vue.js,Node.js;React.js;Vue.js,HTML/CSS;JavaScript,HTML/CSS;JavaScript;TypeScript,,,2022
45-54 years old,Man,Straight / Heterosexual,European,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",Canada,"Independent contractor, freelancer, or self-employed",Other (please specify):,United States dollar,USD,450000.0,Yearly,450000.0,10,10,macOS,MongoDB;Redis,MongoDB;MySQL;Oracle;PostgreSQL;Redis,Node.js;React.js,Angular;Angular.js;Deno;Django;Drupal;Express;jQuery;Node.js;React.js,C#;Go;Java;JavaScript;TypeScript,Bash/Shell;COBOL;Dart;Go;HTML/CSS;Java;JavaScript;Perl;Python;Swift;TypeScript,Microsoft Azure,DigitalOcean;Heroku;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack;Developer, desktop or enterprise applications",United States dollar,USD,120000.0,Weekly,6000000.0,11,3,macOS,DynamoDB;MongoDB;PostgreSQL,DynamoDB;Elasticsearch;IBM DB2;MySQL;Oracle;PostgreSQL,Node.js;React.js;Ruby on Rails,Node.js;React.js,Bash/Shell;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Ruby;Rust;Scala;TypeScript,Bash/Shell;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Python;Scala;SQL,AWS;Google Cloud,AWS;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,2 to 9 employees,UK,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist;System administrator",Pound sterling,GBP,25000.0,Yearly,31410.0,8,3,Linux-based;Windows;Windows Subsystem for Linux (WSL),Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,ASP.NET;ASP.NET Core ;Express;Laravel;Node.js;Phoenix;React.js,ASP.NET;ASP.NET Core ;Express;jQuery;Laravel;Node.js;Phoenix;React.js;Ruby on Rails,Bash/Shell;C#;Dart;Elixir;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;TypeScript,Bash/Shell;C#;Elixir;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript,AWS;Colocation;DigitalOcean;Linode;Microsoft Azure,AWS;DigitalOcean;Heroku;Linode;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",Germany,"Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, mobile;Product manager",European Euro,EUR,65000.0,Yearly,69318.0,12,8,Linux-based;macOS,MongoDB;PostgreSQL,Cloud Firestore,Laravel;Node.js;React.js,Express;Next.js;Node.js;React.js,Bash/Shell;Dart;Go;JavaScript;TypeScript,Bash/Shell;Dart;Java;JavaScript;Kotlin;Swift;TypeScript,AWS,AWS;Firebase,2022
,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Employed, full-time",,Indian rupee,INR,,,,,,Windows,DynamoDB;Elasticsearch;Microsoft SQL Server;Redis,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,ASP.NET;ASP.NET Core ;React.js,ASP.NET;ASP.NET Core ;React.js,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;Scala;SQL;TypeScript,AWS;Microsoft Azure,AWS,2022
Under 18 years old,Man,,Indian;Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, part-time",,,,,,,3,,Windows,MongoDB,MongoDB,Express;jQuery;Next.js;Node.js;React.js,Express;jQuery;Next.js;Node.js;React.js,Assembly;Bash/Shell;C;Go;HTML/CSS;Java;JavaScript,Bash/Shell;HTML/CSS;Java;JavaScript,DigitalOcean;Heroku,Heroku,2022
Under 18 years old,Man,Prefer not to say,Indian,Primary/elementary school,,India,"Student, full-time",,,,,,,3,,Windows,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Flask;jQuery,Django;Flask;jQuery,HTML/CSS;JavaScript;Python;SQL,C#;HTML/CSS;JavaScript;Python;SQL,,Heroku,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, full-stack",European Euro,EUR,55000.0,Yearly,58654.0,4,3,Windows,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,,,C++;Python;SQL,C++;HTML/CSS;JavaScript;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,Asian;East Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time","Engineer, data;Developer, back-end",United States dollar,USD,400000.0,Yearly,400000.0,14,2,Linux-based;macOS,Redis,Elasticsearch;Redis,React.js,React.js,C++;Python;Rust,HTML/CSS;Java;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time","Developer, back-end",United States dollar,USD,,Weekly,,24,20,Linux-based;Windows,,MongoDB;Oracle;PostgreSQL,,,,Go;Java;SQL,,AWS,2022
45-54 years old,Man,Straight / Heterosexual,White;European;Ethnoreligious group,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, QA or test;Project manager;System administrator",United States dollar,USD,70000.0,Yearly,70000.0,30,20,Linux-based;Windows,PostgreSQL,Microsoft SQL Server;MySQL;Oracle;SQLite,Django,Django;Drupal;jQuery;Node.js,Python;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;Python,DigitalOcean,DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, full-stack;Developer, mobile;Senior Executive (C-Suite, VP, etc.)",United States dollar,USD,,,,17,10,Linux-based;Windows Subsystem for Linux (WSL),PostgreSQL;SQLite,DynamoDB;PostgreSQL,Deno;FastAPI;React.js;Svelte,React.js,Python;Rust;TypeScript,C++;HTML/CSS;Kotlin;Python;R;Rust;TypeScript,AWS,AWS;Google Cloud;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer",United States dollar,USD,150000.0,Monthly,1800000.0,5,3,macOS;Windows,,MariaDB;MySQL;Oracle;Firebase Realtime Database,,,Bash/Shell;Python,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,500 to 999 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,120000.0,Yearly,120000.0,30,22,macOS;Windows,,Microsoft SQL Server;PostgreSQL,Vue.js,ASP.NET;jQuery;Vue.js,HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript;SQL,,AWS,2022
25-34 years old,"Non-binary, genderqueer, or gender non-conforming",Queer,Indian;Caribbean;South American;South Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",Canada,"Employed, full-time",Academic researcher,Canadian dollar,CAD,45000.0,Yearly,35138.0,7,2,Linux-based;macOS,,,,,Bash/Shell;C;C++;Fortran;Julia;R,Bash/Shell;C;C++;R,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Independent contractor, freelancer, or self-employed","Developer, full-stack;Developer, back-end",,,,,,9,,Linux-based;Windows;Windows Subsystem for Linux (WSL),MariaDB,MariaDB,Laravel;Vue.js,Laravel,HTML/CSS;JavaScript;PHP,HTML/CSS;PHP,DigitalOcean,DigitalOcean,2022
18-24 years old,Man,Straight / Heterosexual,White;European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Student, full-time;Independent contractor, freelancer, or self-employed","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;System administrator",,,,,,6,,Linux-based;Windows Subsystem for Linux (WSL),MongoDB;Firebase Realtime Database,MongoDB,Express;FastAPI;Nuxt.js;React.js;Svelte;Vue.js,Express;Nuxt.js;React.js,Bash/Shell;C;C#;C++;Go;JavaScript;Python;TypeScript,Bash/Shell;C#;JavaScript;MATLAB;Python,AWS;Firebase;Microsoft Azure;OpenStack,AWS;DigitalOcean;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time;Employed, part-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, game or graphics;Project manager;Designer;Product manager;System administrator",,,,,,4,,Windows,,,,,C;C#;C++;Go;HTML/CSS;Python,HTML/CSS;Java;JavaScript;Python,Firebase;Google Cloud,Google Cloud,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,"1,000 to 4,999 employees",USA,"Employed, full-time","Data scientist or machine learning specialist;Developer, full-stack;DevOps specialist;Designer;Blockchain",United States dollar,USD,250000.0,Yearly,250000.0,35,25,Linux-based;macOS,Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,jQuery,jQuery,Bash/Shell;C++;Java;Perl;Python;Rust,Bash/Shell;C++;Java;Perl;Python;Rust,AWS;Google Cloud,Google Cloud,2022
35-44 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,Germany,"Employed, full-time",Designer,European Euro,EUR,,Monthly,,12,7,macOS,Cassandra;Couchbase;CouchDB;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,,,Java;Rust;SQL,Java;SQL,AWS,AWS;Google Cloud,2022
25-34 years old,Man,Bisexual,European,Some college/university study without earning a degree,20 to 99 employees,UK,"Employed, full-time","Developer, front-end",Pound sterling,GBP,31000.0,Yearly,38948.0,3,Less than 1 year,macOS,,,Django;Express;Flask;Next.js,Angular;Node.js;React.js;Vue.js,Python;SQL,HTML/CSS;JavaScript;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,India,"Employed, full-time","Developer, full-stack;Developer, back-end;Student",Indian rupee,INR,44800.0,Monthly,6936.0,10,5,Linux-based;Windows,MongoDB,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,Angular;Angular.js;Django;Express;Laravel;Next.js;Node.js;React.js;Vue.js,Express;jQuery;Node.js;React.js,Go;Kotlin;Python;TypeScript,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,I prefer not to say,,,,,,,Less than 1 year,,Windows,MongoDB,MongoDB,jQuery;Next.js;Node.js;React.js,jQuery;Node.js;React.js,HTML/CSS;JavaScript;Solidity,HTML/CSS;JavaScript,AWS,AWS;IBM Cloud or Watson,2022
55-64 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,USA,"Employed, full-time","Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",United States dollar,USD,120000.0,Yearly,120000.0,42,35,Linux-based,MariaDB;MySQL;Redis,MariaDB;MySQL;Redis,jQuery;React.js;Vue.js,jQuery;Vue.js,JavaScript;PHP;Python;SQL,JavaScript;PHP;SQL,AWS,AWS;DigitalOcean;Google Cloud;Linode,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,Canada,"Employed, full-time","Developer, back-end;DevOps specialist",Canadian dollar,CAD,120000.0,Yearly,93701.0,8,3,Windows,MongoDB;SQLite,SQLite,,,C;C#;C++;Groovy;JavaScript;PowerShell;Python,C;C#;C++;Groovy;PowerShell;Python,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Middle Eastern,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",Pound sterling,GBP,70000.0,Monthly,1055376.0,12,9,Linux-based;Windows;Windows Subsystem for Linux (WSL),PostgreSQL;Redis;SQLite,Microsoft SQL Server;PostgreSQL;Redis;SQLite,ASP.NET Core ;React.js,Angular;ASP.NET Core ;Flask;React.js,C#;HTML/CSS;JavaScript;Kotlin;TypeScript,C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,AWS;Microsoft Azure,AWS;Firebase;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",India,"Independent contractor, freelancer, or self-employed","Developer, mobile",Indian rupee,INR,,Monthly,,11,7,Windows,Firebase Realtime Database;SQLite,Firebase Realtime Database;SQLite,,,Dart;Java;Kotlin,Dart;Java;Kotlin,,,2022
